TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
1022,7630,7630,7987,14200,19791,20975,22655,23647,13880,19807,21791,23599,24047,node0
1023,8203,8203,8200,14704,19599,20863,22639,23183,14504,19887,20559,23087,24127,node0
1024,8037,8037,8000,14216,19791,20879,22511,23167,13616,19983,20991,22783,23215,node0
1025,7821,7821,7923,13720,19791,20927,23055,23103,13808,20479,21263,23343,23391,node0
1026,8364,8364,8477,14296,19215,21471,23135,23167,14312,19663,21295,23951,24047,node0
1027,8151,8151,8000,14784,19727,20895,22591,23151,14952,19791,21359,23567,24127,node0
1028,7956,7956,8200,14256,19327,20911,22639,23135,14576,19871,21039,23327,23663,node0
1029,8478,8478,8200,14808,19871,21055,22687,23231,14344,20047,20703,23503,23903,node0
1030,7989,7989,8200,14448,19919,21039,22719,23263,14920,20319,21391,23631,24111,node0
1031,8063,8063,7879,14448,19903,21583,23151,23247,13992,19807,21583,23567,24143,node0
1032,7821,7821,7909,14464,19359,20495,22671,23183,14616,20031,21023,23215,23759,node0
1033,8476,8476,8381,14456,19343,21535,22703,23199,14696,19967,20767,23343,23839,node0
1034,7834,7834,7838,14448,19855,20975,23135,23167,14280,19743,21215,23903,23983,node0
1035,8024,8024,8020,14448,19327,20959,22575,23711,14360,19711,20783,23039,24495,node0
1036,7777,7777,7775,14384,19839,20943,23087,23119,13928,19967,20735,23503,23551,node0
1037,7884,7884,8126,13832,19359,20383,22591,23135,13464,19807,20863,23647,23695,node0
1038,8115,8115,7872,14424,19903,21023,23135,23199,14176,19999,20847,23775,23839,node0
1039,8001,8001,8200,14384,19423,20975,22671,23727,14280,19983,21311,22927,24367,node0
1040,8200,8200,8000,13800,19407,21567,22671,23199,13824,19759,21871,22975,23455,node0
1041,8000,8000,8200,14312,19903,20975,22687,23231,14464,20111,20975,23551,23583,node0
1042,8180,8180,8200,13728,18895,21087,22687,23231,14056,19823,21503,23647,24207,node0
1043,8123,8123,8204,14256,19951,21647,23279,23327,14704,19839,21871,23359,23855,node0
1044,8266,8266,8196,14776,19391,20975,23279,23311,15256,19999,21343,23423,23455,node0
1045,8231,8231,8200,14800,19871,21039,22735,22767,14352,19935,20911,23487,23535,node0
1046,8161,8161,7993,15304,19295,20463,22575,23279,14928,19887,20863,23039,24047,node0
1047,8095,8095,8119,14760,19711,20959,23071,23103,15056,19791,20911,23535,23615,node0
