TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
3167,12115,12115,12252,10784,14255,22671,25727,26351,10872,13871,23007,26335,26943,node2
3168,12448,12448,12114,10744,14047,23183,25727,26975,10760,14071,23295,26175,27567,node2
3169,11886,11886,12449,10664,13935,23279,26351,26991,10312,14031,23423,26815,27455,node2
3170,12367,12367,12128,10544,13903,22719,25103,27551,10752,14111,23375,26047,27999,node2
3171,12140,12140,12002,10472,13935,23295,25183,26303,10000,13863,23359,25919,27263,node2
3172,12101,12101,12595,10472,13895,23311,25839,26463,10064,13543,22943,26575,27199,node2
3173,12477,12477,12220,10472,13847,22719,25247,27039,10104,13759,23279,25855,27775,node2
3174,12001,12001,12180,10432,13855,23455,25903,27087,10584,13703,23567,26783,27727,node2
3175,12560,12560,12408,10592,13711,22815,26479,27167,9928,13935,23135,27375,28063,node2
3176,12466,12466,12399,10224,13735,23455,25999,26655,10328,13623,23119,26719,27375,node2
3177,11965,11965,11993,10760,14039,22895,27263,27903,10336,14199,23727,27983,28623,node2
3178,12189,12189,12200,10744,14175,23439,26031,26639,10760,14407,23551,26287,26911,node2
3179,12517,12517,12241,10312,14015,23375,25967,27823,10368,14071,23535,26159,28095,node2
3180,11782,11782,12359,10792,14359,23743,26543,27199,10224,14303,23423,26751,27407,node2
3181,12573,12573,12200,10744,14167,23887,25839,26479,10672,13999,23439,26015,26671,node2
3182,12077,12077,12003,10800,14215,23855,25823,27727,10752,14231,23567,25951,27903,node2
3183,12472,12472,12236,10768,14239,23183,26415,27039,10040,14151,23343,26543,27199,node2
