TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
2158,10065,10065,11119,11928,16055,16863,17679,18079,12344,15743,17311,18511,18927,node1
2159,10774,10774,9938,11488,15991,16847,18063,18447,12040,16167,16975,18095,19295,node1
2160,9949,9949,10352,11792,16015,16783,17167,17183,12352,16311,17343,17407,17423,node1
2161,9987,9987,10368,11536,16415,16847,17615,18463,11872,16191,17039,18191,18735,node1
2162,10932,10932,10362,11960,15679,16815,18047,18479,12408,16071,16863,18591,19023,node1
2163,9831,9831,9953,12328,16087,16911,17215,17247,13272,16271,17199,17279,17407,node1
2164,10118,10118,9858,12024,16079,16879,17727,18159,12592,16463,17039,18111,18303,node1
2165,10074,10074,10130,12032,16463,16879,18143,18527,12832,16367,17119,18511,18927,node1
2166,9753,9753,10107,12416,16111,16623,17327,17343,13224,16415,17247,17359,17375,node1
2167,10707,10707,10667,11880,16103,16863,17663,18127,12392,16431,16975,17887,18175,node1
2168,10216,10216,9718,11800,16031,16991,17679,18095,12000,16143,17183,18111,18335,node1
2169,10120,10120,10406,11824,16031,16847,18031,18111,12376,16015,17087,18463,18559,node1
2170,10023,10023,10451,12176,15703,16815,17679,17695,12216,16199,17391,18351,18367,node1
2171,10983,10983,10085,11888,16015,16751,17631,18111,12080,16447,16943,17519,18783,node1
2172,9789,9789,10536,11872,15967,16767,17631,18383,11896,16591,17007,18159,18751,node1
2173,10827,10827,10224,12192,15895,16735,17967,18367,12856,16415,16863,18575,18991,node1
2174,9863,9863,10479,11856,16279,16415,17535,18719,12328,16271,17215,17263,19359,node1
2175,10889,10889,10333,11776,16023,16751,17887,18351,11960,16463,16943,18767,19247,node1
2176,10086,10086,10765,11768,16063,16815,17583,18351,11792,16359,17039,18415,18863,node1
2177,10574,10574,9848,12144,14711,16735,17599,17599,12168,15279,16343,18303,18319,node1
2178,9751,9751,9858,11808,16047,16863,18015,18831,12440,16431,16943,18719,19567,node1
2179,9620,9620,10260,12272,16431,17167,18079,18495,12320,16495,17087,18671,18847,node1
2180,10606,10606,9800,12368,16383,16863,17663,17679,13184,17327,17471,18255,18271,node1
2181,9816,9816,10613,11960,16415,17215,18079,18495,12584,16543,17295,18687,19087,node1
2182,10005,10005,10120,11984,16007,17167,18063,18495,12056,16375,16895,18191,19343,node1
2183,10823,10823,9591,12392,16415,16831,17215,17263,12464,16479,17455,17471,17471,node1
2184,9762,9762,10483,12016,16159,16991,18127,18495,12472,16479,17135,18623,18911,node1
2185,10003,10003,9607,12192,16223,17375,18271,18575,12664,16591,17359,19167,19311,node1
2186,9876,9876,10185,12200,16183,17023,17951,18703,12504,16287,17087,18063,19615,node1
2187,9543,9543,9935,12224,15159,16735,16863,17999,12352,16311,17231,17327,17343,node1
2188,10676,10676,10067,12224,16431,17231,18367,18799,12448,16623,17695,18911,19167,node1
2189,10048,10048,9950,12328,16351,17551,18047,18447,12528,16327,17647,18623,19039,node1
2190,9845,9845,10292,11904,14463,17231,18127,18415,12352,16183,17295,17343,19407,node1
2191,10223,10223,9706,12264,16495,17359,18607,19103,12216,16655,17311,19263,19839,node1
2192,8206,8206,8459,12416,16543,17407,18239,19471,12640,16767,17551,19071,19647,node1
2193,9787,9787,10355,12792,16543,16703,17871,17951,13360,17215,17375,18239,18271,node1
2194,9873,9873,10062,12496,16351,17391,18703,19119,12488,16831,17759,18815,19951,node1
2195,10937,10937,9982,12528,16623,17855,18799,19167,12568,16703,17935,19103,19247,node1
2196,9837,9837,10626,12432,16735,17519,17983,18719,13344,16287,17375,18335,18367,node1
2197,10109,10109,9915,12472,16303,17503,18799,19215,13088,16799,17679,19375,19791,node1
2198,10467,10467,10099,12888,16271,17487,18399,18799,12936,16831,17503,18655,19071,node1
2199,9738,9738,10306,13264,17151,17951,17983,17999,12408,17215,17343,18287,18303,node1
2200,9727,9727,9961,12056,16383,17583,18847,19247,12408,16959,17967,19343,19743,node1
2201,11198,11198,10416,12824,16703,17887,18031,18431,13480,17215,17439,18447,18463,node1
2202,9975,9975,10448,12400,16703,17535,18831,19599,12744,16815,17631,19583,20351,node1
2203,10332,10332,9631,12808,16655,17231,19183,19663,13024,16927,17759,19247,19727,node1
2204,10168,10168,10217,12280,16687,17167,18783,18831,12856,17039,17759,19519,19583,node1
2205,9246,9246,9785,12656,17135,17951,18351,18351,13232,17199,18207,18399,18415,node1
2206,10716,10716,10121,12248,16671,17487,18367,18767,12520,17263,17839,18655,19055,node1
2207,9356,9356,10400,12680,17071,17503,18287,19135,12592,17311,18079,18879,19471,node1
2208,10140,10140,10001,12688,17055,17903,19167,19583,12288,16847,18063,19759,20191,node1
2209,10090,10090,9500,13800,15767,16687,17919,17919,13368,17327,17407,17423,17439,node1
2210,9947,9947,10098,11976,16607,17487,18415,18911,12536,16783,17759,18991,19151,node1
2211,9552,9552,9602,12400,17071,17551,18799,19199,12808,17167,17711,19471,19887,node1
2212,10150,10150,9660,12816,16639,17503,17935,17935,13216,17327,18287,18415,18431,node1
2213,9803,9803,9488,12448,17071,17615,18383,19183,12496,17455,17935,19023,19567,node1
2214,9711,9711,10583,12784,16943,17839,18703,18751,12904,17231,18063,19407,19455,node1
2215,10815,10815,10536,12816,16911,17455,18287,18287,13272,17327,17487,19215,19231,node1
2216,10300,10300,10528,12392,16607,17439,18271,18687,12528,16895,17599,18799,19615,node1
2217,10665,10665,10417,12656,16863,17359,18607,19055,12048,17119,17535,19103,19247,node1
2218,9871,9871,10352,12648,16831,17311,17791,17823,13216,17279,17359,18191,18207,node1
2219,9913,9913,10155,12280,16895,17343,18623,19023,12336,17151,17759,19375,19535,node1
2220,10869,10869,10032,12312,16847,17359,18223,19007,12560,16895,17471,18655,19775,node1
2221,10271,10271,10298,12200,16575,17247,17855,18191,12408,16959,17279,18463,18927,node1
2222,9401,9401,9825,12232,16863,17311,18591,18991,12312,16927,17631,19327,19743,node1
2223,10410,10410,9936,12584,16895,17359,18623,19039,13432,16815,17343,19599,20015,node1
2224,9993,9993,10305,12520,15775,16495,17775,17775,12400,16143,17215,18399,18431,node1
2225,10982,10982,10674,12400,16687,17199,18159,18591,12544,16799,17471,18975,19247,node1
2226,10047,10047,10671,12760,15903,17071,18479,18495,12384,16183,16303,19375,19423,node1
